date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:54:37	22732/22732	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22660be7a9-58cc%22	https://www.smartlabdental.com/assets/fonts/nationale-regular-webfont.eot	C:/My%20Web%20Sites/dentalsmartlab.es/assets/fonts/nationale-regular-webfont.eot	(from https://www.smartlabdental.com/assets/user-style.css?1710778952)
12:54:37	202268/202268	---M--	200	added ('OK')	image/svg+xml	etag:%22660be7a9-3161c%22	https://www.smartlabdental.com/assets/fonts/nationale-extrabold-webfont.svg	C:/My%20Web%20Sites/dentalsmartlab.es/assets/fonts/nationale-extrabold-webfont.svg	(from https://www.smartlabdental.com/assets/user-style.css?1710778952)
12:54:37	22732/22732	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22660be7a9-58cc%22	https://www.smartlabdental.com/assets/fonts/nationale-regular-webfont.eot?	C:/My%20Web%20Sites/dentalsmartlab.es/assets/fonts/nationale-regular-webfontd41d.eot	(from https://www.smartlabdental.com/assets/user-style.css?1710778952)
12:54:38	26096/26096	---M--	200	added ('OK')	font/woff	etag:%22660be7a9-65f0%22	https://www.smartlabdental.com/assets/fonts/nationale-regular-webfont.woff	C:/My%20Web%20Sites/dentalsmartlab.es/assets/fonts/nationale-regular-webfont.woff	(from https://www.smartlabdental.com/assets/user-style.css?1710778952)
12:54:38	49936/49936	---MCZ	200	added ('OK')	application/octet-stream	etag:W/%22660be7a9-c310%22	https://www.smartlabdental.com/assets/fonts/nationale-regular-webfont.ttf	C:/My%20Web%20Sites/dentalsmartlab.es/assets/fonts/nationale-regular-webfont.ttf	(from https://www.smartlabdental.com/assets/user-style.css?1710778952)
12:54:38	91457/91457	---M--	200	added ('OK')	image/svg+xml	etag:%22660be7a9-16541%22	https://www.smartlabdental.com/assets/fonts/nationale-regular-webfont.svg	C:/My%20Web%20Sites/dentalsmartlab.es/assets/fonts/nationale-regular-webfont.svg	(from https://www.smartlabdental.com/assets/user-style.css?1710778952)
12:54:38	18856/18856	---M--	200	added ('OK')	image/png	etag:%22660be7a9-49a8%22	https://www.smartlabdental.com/assets/css/img/loading-2x.png	C:/My%20Web%20Sites/dentalsmartlab.es/assets/css/img/loading-2x.png	(from https://www.smartlabdental.com/assets/user-style.css?1710778952)
12:54:39	7733/7733	---M--	200	added ('OK')	image/png	etag:%22660be7a9-1e35%22	https://www.smartlabdental.com/assets/css/img/loading.png	C:/My%20Web%20Sites/dentalsmartlab.es/assets/css/img/loading.png	(from https://www.smartlabdental.com/assets/user-style.css?1710778952)
12:54:39	1484/1484	---M--	200	added ('OK')	image/png	etag:%22660be7a9-5cc%22	https://www.smartlabdental.com/assets/css/img/defaultImgPlaceholder.png	C:/My%20Web%20Sites/dentalsmartlab.es/assets/css/img/defaultImgPlaceholder.png	(from https://www.smartlabdental.com/assets/user-style.css?1710778952)
12:54:40	2338/2338	---M--	200	added ('OK')	image/png	date:Tue,%2018%20May%202021%2019:15:00%20GMT	http://maps.gstatic.com/tactile/omnibox/reveal-entity-icons-20131112.png	C:/My%20Web%20Sites/dentalsmartlab.es/tactile/omnibox/reveal-entity-icons-20131112.png	(from https://www.smartlabdental.com/assets/user-style.css?1710778952)
12:54:40	15806/15806	---M--	200	added ('OK')	image/png	etag:%22660be7a9-3dbe%22	https://www.smartlabdental.com/assets/css/img/hcaptcha.png	C:/My%20Web%20Sites/dentalsmartlab.es/assets/css/img/hcaptcha.png	(from https://www.smartlabdental.com/assets/user-style.css?1710778952)
12:54:40	7566/7566	---M--	200	added ('OK')	image/svg+xml	etag:%22660be7a9-1d8e%22	https://www.smartlabdental.com/assets/css/img/hcaptcha-badge.svg	C:/My%20Web%20Sites/dentalsmartlab.es/assets/css/img/hcaptcha-badge.svg	(from https://www.smartlabdental.com/assets/user-style.css?1710778952)
12:54:41	20356/20356	---M--	200	added ('OK')	image/png	etag:%22660be7a9-4f84%22	https://www.smartlabdental.com/assets/css/img/hcaptcha-badge-tool.png	C:/My%20Web%20Sites/dentalsmartlab.es/assets/css/img/hcaptcha-badge-tool.png	(from https://www.smartlabdental.com/assets/user-style.css?1710778952)
12:54:41	5247/5247	---M--	200	added ('OK')	image/svg+xml	etag:%22660be7a9-147f%22	https://www.smartlabdental.com/assets/css/icons/accordd.svg	C:/My%20Web%20Sites/dentalsmartlab.es/assets/css/icons/accordd.svg	(from https://www.smartlabdental.com/assets/user-style.css?1710778952)
12:54:41	56452/56452	---M--	200	added ('OK')	image/svg+xml	etag:%22660be7a9-dc84%22	https://www.smartlabdental.com/assets/css/icons/ad.svg	C:/My%20Web%20Sites/dentalsmartlab.es/assets/css/icons/ad.svg	(from https://www.smartlabdental.com/assets/user-style.css?1710778952)
12:54:41	257/257	---M--	200	added ('OK')	image/svg+xml	etag:%22660be7a9-101%22	https://www.smartlabdental.com/assets/css/icons/ae.svg	C:/My%20Web%20Sites/dentalsmartlab.es/assets/css/icons/ae.svg	(from https://www.smartlabdental.com/assets/user-style.css?1710778952)
12:54:42	33813/33813	---M--	200	added ('OK')	image/svg+xml	etag:%22660be7a9-8415%22	https://www.smartlabdental.com/assets/css/icons/af.svg	C:/My%20Web%20Sites/dentalsmartlab.es/assets/css/icons/af.svg	(from https://www.smartlabdental.com/assets/user-style.css?1710778952)
12:54:42	902/902	---M--	200	added ('OK')	image/svg+xml	etag:%22660be7a9-386%22	https://www.smartlabdental.com/assets/css/icons/ag.svg	C:/My%20Web%20Sites/dentalsmartlab.es/assets/css/icons/ag.svg	(from https://www.smartlabdental.com/assets/user-style.css?1710778952)
12:54:42	55336/55336	---M--	200	added ('OK')	image/svg+xml	etag:%22660be7a9-d828%22	https://www.smartlabdental.com/assets/css/icons/ai.svg	C:/My%20Web%20Sites/dentalsmartlab.es/assets/css/icons/ai.svg	(from https://www.smartlabdental.com/assets/user-style.css?1710778952)
12:54:42	4647/4647	---M--	200	added ('OK')	image/svg+xml	etag:%22660be7a9-1227%22	https://www.smartlabdental.com/assets/css/icons/al.svg	C:/My%20Web%20Sites/dentalsmartlab.es/assets/css/icons/al.svg	(from https://www.smartlabdental.com/assets/user-style.css?1710778952)
12:54:42	226/226	---M--	200	added ('OK')	image/svg+xml	etag:%22660be7a9-e2%22	https://www.smartlabdental.com/assets/css/icons/am.svg	C:/My%20Web%20Sites/dentalsmartlab.es/assets/css/icons/am.svg	(from https://www.smartlabdental.com/assets/user-style.css?1710778952)
12:54:43	5052/5052	---M--	200	added ('OK')	image/svg+xml	etag:%22660be7a9-13bc%22	https://www.smartlabdental.com/assets/css/icons/americanexpress.svg	C:/My%20Web%20Sites/dentalsmartlab.es/assets/css/icons/americanexpress.svg	(from https://www.smartlabdental.com/assets/user-style.css?1710778952)
12:54:43	2245/2245	---M--	200	added ('OK')	image/svg+xml	etag:%22660be7a9-8c5%22	https://www.smartlabdental.com/assets/css/icons/ao.svg	C:/My%20Web%20Sites/dentalsmartlab.es/assets/css/icons/ao.svg	(from https://www.smartlabdental.com/assets/user-style.css?1710778952)
12:54:43	4488/4488	---M--	200	added ('OK')	image/svg+xml	etag:%22660be7a9-1188%22	https://www.smartlabdental.com/assets/css/icons/aq.svg	C:/My%20Web%20Sites/dentalsmartlab.es/assets/css/icons/aq.svg	(from https://www.smartlabdental.com/assets/user-style.css?1710778952)
12:54:43	4399/4399	---M--	200	added ('OK')	image/svg+xml	etag:%22660be7a9-112f%22	https://www.smartlabdental.com/assets/css/icons/ar.svg	C:/My%20Web%20Sites/dentalsmartlab.es/assets/css/icons/ar.svg	(from https://www.smartlabdental.com/assets/user-style.css?1710778952)
12:54:44	11465/11465	---M--	200	added ('OK')	image/svg+xml	etag:%22660be7a9-2cc9%22	https://www.smartlabdental.com/assets/css/icons/as.svg	C:/My%20Web%20Sites/dentalsmartlab.es/assets/css/icons/as.svg	(from https://www.smartlabdental.com/assets/user-style.css?1710778952)
